source_table,chapter,route_type,prtp_pct,vehicle_category,specification,ghg,air_pollutants_exhaust,air_pollutants_abrasion,infra_and_vehicles,energy_supply,total,noise_included,unit
Table 14,5,rural,1,Coach,Diesel,24.74,8.97,0.87,11.61,9.61,55.8,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Passenger_train_LD,Electric,0.0,0.0,6.24,79.01,322.46,407.72,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Passenger_train_LT,Weighted_av.,18.28,20.41,3.15,21.8,133.89,197.53,no,EUR-cent_2025/vehicle_km
Table 14,5,rural,1,Freight_train,Weighted_av.,38.22,49.8,7.38,148.26,334.87,578.53,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Car,Petrol,16.9,0.47,0.85,8.0,6.15,32.38,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Car,Diesel,17.98,2.26,0.85,8.2,4.9,34.19,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Car,Electric,0.0,0.0,0.85,12.35,9.24,22.44,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Small_motorcycle,Diesel,6.21,10.88,0.33,3.49,2.44,23.35,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Motorcycle,Petrol,12.9,1.15,0.33,5.31,4.36,24.05,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,LCV,Diesel,22.31,3.02,0.85,9.16,7.44,42.78,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,LCV,Petrol,17.2,0.81,0.85,9.16,7.06,35.08,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,LCV,Electric,0.0,0.0,0.85,14.15,12.05,27.05,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,HGV_<7.5t,Diesel,33.73,8.14,7.86,9.16,7.44,66.32,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,HGV_7.5-14t,Diesel,40.5,7.79,7.86,12.37,9.96,78.47,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,HGV_14-28t,Diesel,68.28,10.62,7.86,32.49,22.37,141.61,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,HGV_28-40t,Diesel,92.8,8.03,7.86,54.5,24.9,188.1,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Public_bus,Diesel,104.28,17.16,11.1,26.22,33.25,192.01,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Coach,Diesel,76.81,14.34,8.22,26.01,22.39,147.76,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Passenger_train_LD,Electric,0.0,0.0,6.24,175.32,827.05,1008.6,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Passenger_train_LT,Weighted_av.,52.69,23.58,3.15,48.36,338.8,466.59,no,EUR-cent_2025/vehicle_km
Table 15,5,urban,0,Freight_train,Weighted_av.,110.16,60.21,7.38,329.67,849.85,1357.28,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Car,Petrol,5.86,0.47,0.85,3.55,2.71,13.44,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Car,Diesel,6.26,2.26,0.85,3.64,2.1,15.11,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Car,Electric,0.0,0.0,0.85,6.34,3.85,11.04,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Small_motorcycle,Diesel,2.27,10.88,0.33,1.59,1.05,16.12,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Motorcycle,Petrol,4.49,1.15,0.33,2.48,1.87,10.32,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,LCV,Diesel,7.76,3.02,0.85,4.16,3.19,18.98,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,LCV,Petrol,5.97,0.81,0.85,4.16,3.1,14.89,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,LCV,Electric,0.0,0.0,0.85,7.61,5.02,13.49,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,HGV_<7.5t,Diesel,11.73,8.14,7.86,4.16,3.19,35.07,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,HGV_7.5-14t,Diesel,14.08,7.79,7.86,5.64,4.27,39.63,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,HGV_14-28t,Diesel,23.74,10.62,7.86,14.93,9.6,66.74,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,HGV_28-40t,Diesel,32.29,8.03,7.86,24.8,10.69,83.67,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Public_bus,Diesel,36.22,17.16,11.1,11.25,14.09,89.82,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Coach,Diesel,26.7,14.34,8.22,11.61,9.61,70.47,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Passenger_train_LD,Electric,0.0,0.0,6.24,79.01,322.46,407.72,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Passenger_train_LT,Weighted_av.,18.28,23.58,3.15,21.8,133.89,200.7,no,EUR-cent_2025/vehicle_km
Table 16,5,urban,1,Freight_train,Weighted_av.,38.22,60.21,7.38,148.26,334.87,588.94,no,EUR-cent_2025/vehicle_km
