source_table,chapter,context,sector,surroundings,emission_height_m,substance,impact_component,value_factor,unit
Table 4,3,road_traffic,transport,suburban,0-3,SO2,health,34600,EUR_2025/t
Table 4,3,road_traffic,transport,suburban,0-3,NMVOC,health,525,EUR_2025/t
Table 4,3,road_traffic,transport,suburban,0-3,NH3,health,32100,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,PM2.5,health,86600,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,PMcoarse,health,960,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,PM10_abrasion,health,43780,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,NOx,health,37100,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,SO2,health,34600,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,NMVOC,health,525,EUR_2025/t
Table 4,3,road_traffic,transport,rural,0-3,NH3,health,32100,EUR_2025/t
